Id,name,author_id,price,description,is_published,image,category_id
1,"Сибирская котята, 3 месяца",1,2500,"Продаю сибирских котят, возвраст 3 месяца.
Очень милые и ручные.
Лоточек знают на пятерку, кушают премиум корм.
Ждут любящих и заботливых хояев. Больше фотографий отправлю в личку, цена указана за 1 котенка.",TRUE,images/post1.jpg,1
2,"Стратегия голубого океана
",1,650,"Твердый переплет, состояние прекрасное. По всем вопросам лучше писать, звонок могу не услышать. Передам у м. Студенческая.",TRUE,images/post2.png,3
3,"Принципы, Рэй Далио",5,555,"Твердый переплет, состояние хорошее. Встречусь у метро у м. Черкизоская или на кольцевой.",TRUE,images/post3.png,3
4,Разумный инвестор,5,250,"Твердый переплет, состояние нормальное. Встречусь у метро у м. Черкизоская или на кольцевойе",TRUE,images/post4.jpg,3
5,Розанов В. В. Уединенное,10,100,"Передам на Чернышевской, по вопросам - лучше звоните.",TRUE,images/post5.png,3
6,"Alice Sebold - The lovely bone
",8,250,"Идеально для изучения языка, книга в хорошем состоянии без пометок карандашом. Книга в мягком переплете (!!). Передам у метро.",TRUE,images/post6.jpg,3
7,Котята в добрые руки,5,100,"Котята из приюта. Ласковые и адаптированые. Лоток знают на 5, стоят все прививки. Готовые перезжать в новый дом. Больше фотографий скину в личку) ",TRUE,images/post7.jpg,1
8,Молодая кошечка Груша,5,100,"Груша - сладкая, яркая и очень милая кошка! Предпочитает держаться отстраненно, но мы уверены, что в жизни каждой пугливой кошки рано или поздно появляется человек, которому они будут доверять. Давайте поможем ей найти такого человека! Отдается под договор с ненавязчивым отслеживанием.",TRUE,images/post8.jpg,1
9,Собака в добрые руки,5,150,"Знакомьтесь - Шери! Ищет хозяев, для которых была бы единственной любимицей, так как делить внимание и любовь хозяина с другими животными ей совсем не хочется. Отдается под договор с ненавязчивым отслеживанием.",TRUE,images/post9.jpg,2
10,Собака Дуся в добрые руки,5,150,"История её попадания в приют стара, как мир: жил был добрый человек, который очень любил животных и в один миг всё закончилось...вместо радости и любви в их дом пришла смерть 😔  Давайте вместе найдём для Бабуси Дуси новый дом или хотя бы передержку...она замечательная, добрая и милая собака, которая точно заслуживает второго шанса на счастливую жизнь! 🙏🏻 Отдается под договор с ненавязчивым отслеживанием.",FALSE,images/post10.jpg,2
11,Стол из слэба и эпоксидной смолы,6,24000,,TRUE,images/post11.jpg,5
12,Собака в добрые руки,6,1500,"Весенняя и лукавая Норочка не унывает и терпеливо ждёт единственного и неповторимого хозяина! Нора - собака для тепла, любви и активного времяпрепровождения! Если Вы давно ищите компаньона и друга, то Нора очень Вас ждёт!",TRUE,images/post12.jpg,2
13,Метис овчарки в добрые руки,7,400,"Роксана - идеальная собака для спокойных людей, которые любят проводить тихие вечера дома перед телевизором или за чтением книжки. Роксана очень зависит от человека, привязывается, доверяет и готова всегда ходить хвостиком. Роксана очень любит спокойствие, тишину, не любит плохую погоду и длительные прогулки. Девочка молода, стерилизована, привита, здорова!",TRUE,images/post13.jpg,2
14,"Черенки петунии, рассада цветов, овощей",7,120,"Принимаем заказы на 2022 год на укоренённые черенки ампельной петунии
(более 30 сортов) и других цветов. ",TRUE,images/post14.jpg,4
15,Гардения Жасминовидная,7,550,"Гардения Жасминовая
Очень ароматные Цветы (запах зелёного чая).
Любой кустик 550₽.",TRUE,images/post15.jpg,4
16,"Петуния, крейзитуния, бленкет, сурфиния, калиб",10,89,"Продам черенки петунии крейзитунии, сурфинии, петхоа, калибрахоа, каскадиас, тамбелина, бьютикал, бони, бленкет. Цена 89 р.",TRUE,images/post16.jpg,4
17,Добрый песик ищет хозяина,10,150,"Ерёма - коник в миниатюре! Славный, смешной и очень активный, он ищет хозяев, которые бы смогли дать ему достаточное количество прогулок на свежем воздухе, задорных игр и внимания, которое он так заслуживает. Ерёма совсем молодой, ему около года. Он приучен к домашней жизни и выгулу на улице. При первом знакомстве он может немного сторониться новых людей, но это быстро пройдет, стоит ему лишь получше Вас узнать. Такое чудо заслуживает замечательных хозяев!",FALSE,images/post17.jpg,2
18,"Стол лофт большой
",1,13800,"Стол отлично подойдёт как под обеденный так и для переговоров, размер 200/100 см, высота стандартная 75 см. Выполнен из массива сосны. Можно сделать также из ясеня, дуба. ",TRUE,images/post18.jpg,5
19,Стол прямой прям хороший,10,1800,Продаю столы потому что остались не востребоваными. Лишки компании. Ушли на удаленку. Размеры : 140/70 см. Всего 4-6 шт. Так же есть такого цвета и другая мебель. СМОТРИТЕ В ПРОФИЛЕ МОЕМ.,TRUE,images/post19.jpg,5
20,Котенок в добрые руки,7,100,"Сатоши Пеструшкин - спасённый из подвала малыш, которому последнему из братьев посчастливилось оказаться на передержке! Его братцы уже дома, а Сатоши только-только начинает свой путь. Ему около 2 месяцев, он уже прошел карантин и активно обучается хорошим манерам. Котёнок очень спокойный, немного робкий и стеснительный, но в любящих руках он нежно и ласково мурчит! Пишите нам в сообщения и приезжайте знакомиться.",TRUE,images/post20.jpg,1
